DATE,DEMDEPSL
2000-01-01,346.3
2000-02-01,340.1
2000-03-01,340.2
2000-04-01,344.7
2000-05-01,335.6
2000-06-01,332.9
2000-07-01,333.1
2000-08-01,328.6
2000-09-01,327.6
2000-10-01,322.9
2000-11-01,316.0
2000-12-01,310.5
2001-01-01,314.5
2001-02-01,314.7
2001-03-01,316.2
2001-04-01,317.2
2001-05-01,316.0
2001-06-01,316.0
2001-07-01,318.6
2001-08-01,323.3
2001-09-01,372.7
2001-10-01,334.3
2001-11-01,333.5
2001-12-01,336.3
2002-01-01,336.7
2002-02-01,331.9
2002-03-01,330.0
2002-04-01,318.3
2002-05-01,313.2
2002-06-01,311.6
2002-07-01,310.3
2002-08-01,296.2
2002-09-01,300.4
2002-10-01,302.3
2002-11-01,302.0
2002-12-01,306.9
2003-01-01,309.4
2003-02-01,312.2
2003-03-01,308.3
2003-04-01,315.5
2003-05-01,327.3
2003-06-01,333.6
2003-07-01,333.9
2003-08-01,337.2
2003-09-01,330.6
2003-10-01,326.8
2003-11-01,325.0
2003-12-01,325.9
2004-01-01,321.0
2004-02-01,329.4
2004-03-01,333.4
2004-04-01,335.1
2004-05-01,332.0
2004-06-01,331.5
2004-07-01,321.3
2004-08-01,331.6
2004-09-01,339.3
2004-10-01,334.0
2004-11-01,339.5
2004-12-01,342.8
2005-01-01,337.1
2005-02-01,341.0
2005-03-01,340.3
2005-04-01,325.9
2005-05-01,331.9
2005-06-01,345.0
2005-07-01,332.2
2005-08-01,336.1
2005-09-01,333.7
2005-10-01,330.9
2005-11-01,327.7
2005-12-01,324.2
2006-01-01,324.3
2006-02-01,321.1
2006-03-01,323.6
2006-04-01,320.1
2006-05-01,324.8
2006-06-01,317.8
2006-07-01,315.8
2006-08-01,315.7
2006-09-01,308.5
2006-10-01,313.2
2006-11-01,312.7
2006-12-01,304.8
2007-01-01,306.0
2007-02-01,301.9
2007-03-01,300.7
2007-04-01,306.8
2007-05-01,309.0
2007-06-01,306.6
2007-07-01,307.4
2007-08-01,309.1
2007-09-01,305.6
2007-10-01,306.6
2007-11-01,304.5
2007-12-01,301.7
2008-01-01,305.1
2008-02-01,306.9
2008-03-01,313.7
2008-04-01,315.7
2008-05-01,313.9
2008-06-01,317.4
2008-07-01,325.3
2008-08-01,316.6
2008-09-01,362.0
2008-10-01,361.7
2008-11-01,400.3
2008-12-01,469.9
2009-01-01,436.7
2009-02-01,403.7
2009-03-01,407.8
2009-04-01,425.6
2009-05-01,428.1
2009-06-01,450.2
2009-07-01,445.6
2009-08-01,436.6
2009-09-01,434.8
2009-10-01,436.1
2009-11-01,438.4
2009-12-01,445.9
2010-01-01,434.3
2010-02-01,448.6
2010-03-01,453.7
2010-04-01,452.6
2010-05-01,456.8
2010-06-01,468.2
2010-07-01,457.6
2010-08-01,473.6
2010-09-01,479.5
2010-10-01,482.2
2010-11-01,510.5
2010-12-01,516.5
2011-01-01,524.7
2011-02-01,540.3
2011-03-01,556.2
2011-04-01,551.0
2011-05-01,583.4
2011-06-01,594.6
2011-07-01,623.8
2011-08-01,727.6
2011-09-01,727.2
2011-10-01,732.3
2011-11-01,767.5
2011-12-01,751.6
2012-01-01,779.1
2012-02-01,770.8
2012-03-01,780.6
2012-04-01,783.5
2012-05-01,793.5
2012-06-01,807.6
2012-07-01,839.1
2012-08-01,864.0
2012-09-01,887.0
2012-10-01,907.3
2012-11-01,919.1
2012-12-01,927.2
2013-01-01,928.4
2013-02-01,923.9
2013-03-01,926.6
2013-04-01,944.9
2013-05-01,957.1
2013-06-01,951.7
2013-07-01,954.7
2013-08-01,957.7
2013-09-01,974.2
2013-10-01,1005.1
2013-11-01,1010.1
2013-12-01,1034.6
2014-01-01,1059.7
2014-02-01,1078.6
2014-03-01,1086.8
2014-04-01,1097.7
2014-05-01,1108.6
2014-06-01,1132.1
2014-07-01,1140.9
2014-08-01,1098.4
2014-09-01,1160.2
2014-10-01,1158.9
2014-11-01,1166.0
2014-12-01,1200.6
2015-01-01,1186.5
2015-02-01,1232.8
2015-03-01,1219.6
2015-04-01,1212.6
2015-05-01,1192.1
2015-06-01,1220.0
2015-07-01,1231.0
2015-08-01,1214.2
2015-09-01,1218.2
2015-10-01,1183.0
2015-11-01,1237.3
2015-12-01,1238.9
2016-01-01,1238.6
2016-02-01,1256.4
2016-03-01,1275.1
2016-04-01,1312.2
2016-05-01,1340.0
2016-06-01,1334.5
2016-07-01,1327.4
2016-08-01,1384.4
2016-09-01,1384.2
2016-10-01,1381.3
2016-11-01,1391.0
2016-12-01,1370.4
2017-01-01,1404.1
2017-02-01,1404.5
2017-03-01,1435.6
2017-04-01,1427.0
2017-05-01,1471.3
2017-06-01,1475.8
2017-07-01,1490.6
2017-08-01,1514.6
2017-09-01,1490.1
2017-10-01,1512.3
2017-11-01,1519.1
2017-12-01,1489.2
2018-01-01,1517.0
2018-02-01,1470.3
2018-03-01,1504.8
2018-04-01,1480.7
2018-05-01,1467.8
2018-06-01,1459.7
2018-07-01,1475.2
2018-08-01,1474.6
2018-09-01,1474.1
2018-10-01,1481.6
2018-11-01,1459.2
2018-12-01,1504.4
2019-01-01,1489.8
2019-02-01,1492.3
2019-03-01,1456.5
2019-04-01,1470.1
2019-05-01,1479.2
2019-06-01,1519.9
2019-07-01,1538.5
2019-08-01,1529.1
2019-09-01,1553.9
2019-10-01,1574.3
2019-11-01,1587.7
2019-12-01,1615.0
2020-01-01,1595.8
2020-02-01,1591.8
2020-03-01,1814.2
2020-04-01,1996.2
2020-05-01,2121.2
2020-06-01,2210.9
2020-07-01,2254.6
2020-08-01,2293.9
2020-09-01,2418.4
2020-10-01,2441.6
2020-11-01,2791.2
2020-12-01,3296.8
2021-01-01,3392.6
2021-02-01,3595.1
2021-03-01,3739.4
2021-04-01,3739.6
2021-05-01,4004.0
2021-06-01,4240.3
2021-07-01,4366.6
2021-08-01,4481.7
2021-09-01,4494.2
2021-10-01,4588.3
2021-11-01,4672.9
2021-12-01,4699.5
2022-01-01,4812.0
